hotel_name,hotel_stars_count,location,rating,room_type1,occupancy1,summer_price1,room_type2,occupancy2,summer_price2,room_type3,occupancy3,summer_price3,amenities_list
Хотел Сиена Хаус,3.0,Созопол,8.7,стандартна стая,2,139 лв,стандартна стая,2,129 лв,,,,"['паркинг', 'рент-а-кар', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'плащане с карта', 'лятна градина']"
Семеен хотел Гая,,Созопол,9.9,лукс стая,2,210 лв,студио,2,280 лв,лукс апартамент,2,280 лв,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'сешоар']"
Вила Весела,3.0,Созопол,9.1,стандартна стая,2,70 лв,стандартна стая,3,85 лв,студио,3,120 лв,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'гладене', 'лятна градина', 'електрическа кана']"
Семеен хотел Калипсо,3.0,Созопол,,стандартна стая,2,45 лв,студио,3,70 лв,студио,3,80 лв,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'гладене', 'достъп за инвалиди']"
Семеен хотел Телъви,2.0,Созопол,,стандартна стая,2,80 лв,стандартна стая,3,108 лв,стандартна стая,4,138 лв,"['тенис на маса', 'телевизор', 'кабелна тв', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'лятна градина', 'електрическа кана']"
Семеен хотел Море,3.0,Созопол,9.5,стандартна стая,1,80 лв,стандартна стая,2,100 лв,,,,"['открит басейн', 'паркинг', 'рент-а-кар', 'сауна', 'джакузи', 'лоби бар', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'гладене', 'лятна градина']"
Ема хотел,3.0,Созопол,9.2,стандартна стая,2,98 лв,лукс стая,2,112 лв,студио,3,128 лв,"['открит басейн', 'детски басейн', 'колела под наем', 'кафене', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта', 'кафе машина', 'лятна градина', 'бар-басейн']"
Апарт комплекс Елинор Буджака,,Созопол,9.5,апартамент,4,150 лв,апартамент,6,180 лв,,,,"['открит басейн', 'паркинг', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'радио', 'DVD', 'ютия', 'сешоар', 'кухненски бокс', 'дом. любимци', 'електрическа кана', 'готварска печка']"
Семеен хотел Рейнбоу 2,2.0,Созопол,,стандартна стая,2,50 лв,стандартна стая,3,60 лв,студио,4,80 лв,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'гладене']"
Вила Валеев,3.0,Созопол,8.7,стандартна стая,2,90 лв,студио,3,115 лв,апартамент,4,150 лв,"['открит басейн', 'охрана', 'сейф', 'джакузи', 'детски басейн', 'кафене', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'плащане с карта', 'лятна градина', 'бар-басейн']"
